tournament id,player id,hole_par,strokes,n_rounds,made_cut,pos,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
401353224,9261,288,289,4,1,32,T32,0.2,-0.13,-0.08,0.86,0.65,0.85
401353224,5548,288,286,4,1,18,T18,0.36,0.75,0.31,0.18,1.24,1.6
401353224,4989,144,147,2,0,NA,CUT,-0.56,0.74,-1.09,0.37,0.02,-0.54
401353224,6015,144,151,2,0,NA,CUT,-1.46,-1.86,-0.02,0.8,-1.08,-2.54
401353224,3832,144,148,2,0,NA,CUT,0.53,-0.36,-1.39,0.19,-1.56,-1.04
401353224,5502,144,151,2,0,NA,CUT,-0.97,0.14,-2.02,0.31,-1.56,-2.54
401353224,10906,288,287,4,1,26,T26,2.05,0.74,-1.32,-0.12,-0.7,1.35
401353224,10372,288,287,4,1,26,T26,-0.96,-0.01,1.84,0.48,2.31,1.35
401353224,388,288,299,4,1,67,T67,-0.82,-1.79,2,-1.04,-0.83,-1.65
401353224,9484,144,151,2,0,NA,CUT,-1.89,-0.71,0.71,-0.65,-0.65,-2.54
401353224,9127,288,291,4,1,45,T45,0.28,-0.02,-0.18,0.26,0.07,0.35
401353224,10577,288,279,4,1,2,2,1.16,0.05,1.96,0.18,2.19,3.35
401353224,10046,144,153,2,0,NA,NA,NA,NA,NA,NA,NA,NA
401353224,9584,144,155,2,0,NA,CUT,-0.94,-1.58,-1.41,-0.61,-3.6,-4.54
401353224,1225,288,286,4,1,18,T18,0.12,0.66,0.17,0.65,1.48,1.6
401353224,4780,144,151,2,0,NA,CUT,-0.93,0.21,-1.4,-0.42,-1.6,-2.54
401353224,1651,288,275,4,1,1,1,0.95,1.31,1.25,0.84,3.39,4.35
401353224,6011,288,289,4,1,32,T32,1.94,0.43,-1.5,-0.03,-1.09,0.85
401353224,1222,288,295,4,1,60,T60,1.12,0.25,-1.1,-0.92,-1.77,-0.65
401353224,3596,288,284,4,1,10,T10,0.2,-0.22,1.26,0.86,1.9,2.1
401353224,4355673,288,300,4,1,69,69,-2.44,0.3,0.12,0.12,0.54,-1.9
401353224,11098,144,149,2,0,NA,CUT,-0.27,0,-1.63,0.36,-1.27,-1.54
401353224,9126,288,285,4,1,13,T13,-0.24,-0.47,2.03,0.53,2.09,1.85
401353224,10863,288,294,4,1,53,T53,0.19,-0.88,0.88,-0.6,-0.59,-0.4
401353224,205,144,147,2,0,NA,CUT,-0.2,-0.47,0.14,0,-0.34,-0.54
401353224,208,288,286,4,1,18,T18,0.52,-0.36,1.03,0.4,1.08,1.6
401353224,5724,288,299,4,1,67,T67,-1.4,-0.98,0.53,0.19,-0.26,-1.65
401353224,3449,288,294,4,1,53,T53,-0.02,0.45,-1.28,0.45,-0.38,-0.4
401353224,10910,144,151,2,0,NA,CUT,-3.48,-0.1,1.35,-0.3,0.94,-2.54
401353224,10592,144,148,2,0,NA,CUT,-0.41,-1.99,0.51,0.86,-0.62,-1.04
401353224,5532,288,296,4,1,64,T64,0.88,-0.44,-0.8,-0.55,-1.78,-0.9
401353224,6017,288,294,4,1,53,T53,-0.36,0.21,0.79,-1.05,-0.04,-0.4
401353224,9131,288,285,4,1,13,T13,0.75,1.38,0.17,-0.49,1.01,1.76
401353224,4645,288,292,4,1,48,T48,-0.18,0.35,-0.67,0.59,0.28,0.1
401353224,1264,288,294,4,1,53,T53,-0.71,0.52,0.01,-0.22,0.31,-0.4
401353224,4425906,288,295,4,1,60,T60,-0.68,0.32,-1.18,0.89,0.03,-0.65
401353224,9025,288,282,4,1,5,T5,1.65,-0.5,1.34,0.1,0.95,2.6
401353224,11456,288,295,4,1,60,T60,-0.6,-1.17,0.41,0.71,-0.05,-0.65
401353224,3950,144,147,2,0,NA,CUT,-1.75,-0.65,1.11,0.75,1.21,-0.54
401353224,5574,288,292,4,1,48,T48,0.09,-0.8,1.05,-0.24,0.01,0.1
401353224,6701,288,290,4,1,37,T37,0.46,0.27,0.31,-0.43,0.14,0.6
401353224,10054,288,282,4,1,5,T5,1.21,1.76,0.53,-0.71,1.55,2.76
401353224,10058,288,285,4,1,13,T13,0.73,0.12,1.28,-0.29,1.12,1.85
401353224,4304,144,152,2,0,NA,CUT,-1.14,0.55,-1.71,-0.74,-1.9,-3.04
401353224,5882,288,289,4,1,32,T32,-0.48,1.04,-1,1.28,1.32,0.85
401353224,9364,144,148,2,0,NA,NA,NA,NA,NA,NA,NA,NA
401353224,1483,288,287,4,1,26,T26,0.59,0.7,0.57,-0.51,0.76,1.35
401353224,11393,288,286,4,1,18,T18,0.81,-0.99,1.68,0.1,0.79,1.6
401353224,3550,144,149,2,0,NA,CUT,-1.19,-0.24,-0.86,0.75,-0.35,-1.54
401353224,5408,144,154,2,0,NA,CUT,0.21,-0.03,-1.49,-2.73,-4.25,-4.04
401353224,5504,144,151,2,0,NA,CUT,-0.31,-3.01,1.18,-0.39,-2.23,-2.54
401353224,6196,288,289,4,1,32,T32,0.26,0.36,-0.2,0.42,0.59,0.85
401353224,1680,288,288,4,1,31,31,1.04,0.81,-0.87,0.13,0.06,1.1
401353224,110,144,150,2,0,NA,CUT,0.04,-0.34,-1.47,-0.26,-2.08,-2.04
401353224,11099,288,281,4,1,3,T3,0.67,-0.57,1.58,1.18,2.18,2.85
401353224,4691933,144,153,2,0,NA,CUT,-1.51,-0.47,-0.96,-0.59,-2.02,-3.54
401353224,10505,288,290,4,1,37,T37,0.7,-0.42,0.61,-0.3,-0.1,0.6
401353224,9780,288,284,4,1,10,T10,1.4,0.48,0.72,-0.51,0.7,2.1
401353224,5467,288,286,4,1,18,T18,1.26,0.64,-0.67,0.37,0.34,1.6
401353224,1030,288,290,4,1,37,T37,-0.28,0.11,0.46,0.3,0.88,0.6
401353224,4513,288,290,4,1,37,T37,0.85,-0.52,0.07,0.2,-0.25,0.6
401353224,10363,288,296,4,1,64,T64,-0.94,0.61,-0.61,0.05,0.04,-0.9
401353224,10364,144,147,2,0,NA,CUT,-0.15,-0.28,-1.01,0.91,-0.39,-0.54
401353224,7083,288,294,4,1,53,T53,-1.06,0.1,0.75,-0.19,0.66,-0.4
401353224,8906,288,286,4,1,18,T18,0.65,0.61,-0.19,0.52,0.95,1.6
401353224,1077,144,149,2,0,NA,CUT,-1.94,-0.66,0.76,0.29,0.4,-1.54
401353224,601,144,147,2,0,NA,CUT,1.82,-0.36,-0.91,-1.09,-2.36,-0.54
401353224,676,288,295,4,1,60,T60,0.1,-0.41,-0.64,0.29,-0.76,-0.65
401353224,5962,288,293,4,1,51,T51,-0.02,0.64,0.1,-0.87,-0.13,-0.15
401353224,10343,288,292,4,1,48,T48,0.67,0.87,-1.14,-0.3,-0.57,0.1
401353224,1059,288,287,4,1,26,T26,0.68,0.52,0.31,-0.17,0.67,1.35
401353224,9037,144,147,2,0,NA,CUT,-3.79,0.94,1.13,1.18,3.25,-0.54
401353224,8973,288,282,4,1,5,T5,1.09,0.67,0.73,0.11,1.51,2.6
401353224,6931,288,290,4,1,37,T37,0.34,0.87,0.46,-1.07,0.26,0.6
401353224,1367,144,149,2,0,NA,CUT,-2.38,-0.87,1.34,0.38,0.84,-1.54
401353224,257,288,291,4,1,45,T45,0.86,0.34,-0.35,-0.51,-0.51,0.35
401353224,2571,288,290,4,1,37,T37,-0.44,0.61,0.46,-0.03,1.04,0.6
401353224,4410932,144,149,2,0,NA,NA,NA,NA,NA,NA,NA,NA
401353224,3351,144,149,2,0,NA,CUT,0.78,-0.8,-1.39,-0.12,-2.31,-1.54
401353224,6954,288,290,4,1,37,T37,0.1,-0.24,0.63,0.11,0.5,0.6
401353224,9931,288,285,4,1,13,T13,-0.53,0.42,1.12,0.84,2.38,1.85
401353224,4412121,144,148,2,0,NA,CUT,1.05,0.28,-1.91,-0.45,-2.09,-1.04
401353224,1600,144,149,2,0,NA,CUT,0.37,-1.27,-1.77,1.13,-1.91,-1.54
401353224,1042,144,158,2,0,NA,CUT,-1.04,-1.02,-0.97,-3.01,-5,-6.04
401353224,6007,288,281,4,1,3,T3,1.09,0.26,0.79,0.7,1.76,2.85
401353224,3980,144,156,2,0,NA,CUT,-2.73,-1.06,0.29,-1.54,-2.31,-5.04
401353224,5692,144,150,2,0,NA,CUT,0.85,0.39,-3.11,-0.17,-2.89,-2.04
401353224,707,288,287,4,1,26,T26,0.3,0.8,0.69,-0.45,1.05,1.35
401353224,5579,288,294,4,1,53,T53,-0.48,0.85,-0.64,-0.13,0.08,-0.4
401353224,6825,144,149,2,0,NA,CUT,-0.46,-0.64,-1.34,0.91,-1.08,-1.54
401353224,1548,144,156,2,0,NA,CUT,-0.32,-1.57,-2.5,-0.65,-4.71,-5.04
401353224,4321,144,148,2,0,NA,CUT,0.82,1.16,-2.13,-0.88,-1.85,-1.04
401353224,3702,288,296,4,1,64,T64,-0.8,-0.28,0.01,0.16,-0.1,-0.9
401353224,4483,144,157,2,0,NA,CUT,-1.74,-0.78,-1.57,-1.45,-3.8,-5.54
401353224,3470,288,286,4,1,18,NA,NA,NA,NA,NA,NA,NA
401353224,809,288,303,4,1,70,70,-0.73,-0.61,-0.54,-0.78,-1.92,-2.65
401353224,962,144,160,2,0,NA,CUT,-0.98,-0.62,-4.04,-1.4,-6.06,-7.04
401353224,5619,144,147,2,0,NA,CUT,0.13,-0.94,-0.45,0.73,-0.66,-0.54
401353224,78,144,152,2,0,NA,CUT,0.99,-1.23,-3.01,0.21,-4.03,-3.04
401353224,11382,288,284,4,1,10,T10,0.38,0.15,0.91,0.66,1.72,2.1
401353224,7081,288,285,4,1,13,T13,0.35,0.94,0.1,0.46,1.49,1.85
401353224,4587,288,289,4,1,32,T32,0.18,0.5,0.32,-0.15,0.67,0.85
401353224,6001,144,148,2,0,NA,CUT,-1.97,-0.09,0.64,0.38,0.94,-1.04
401353224,7001,144,147,2,0,NA,CUT,-1.64,-0.05,0.66,0.5,1.1,-0.54
401353224,3378,144,152,2,0,NA,CUT,-1.98,-0.16,-0.78,-0.12,-1.06,-3.04
401353224,8961,288,291,4,1,45,T45,0.81,-0.52,0,0.06,-0.46,0.35
401353224,10980,288,282,4,1,5,T5,0.06,0.4,1.48,0.65,2.54,2.6
401353224,6086,144,149,2,0,NA,CUT,0.07,-1.16,0.12,-0.57,-1.6,-1.54
401353224,3970,288,294,4,1,53,T53,0,0.17,-0.55,-0.03,-0.4,-0.4
401353224,10664,144,152,2,0,NA,CUT,-0.31,-1.18,-0.75,-0.8,-2.73,-3.04
401353224,4364873,288,293,4,1,51,T51,1.46,-1.49,-0.22,0.1,-1.61,-0.15
401353224,11119,288,290,4,1,37,T37,0.03,1.07,0.04,-0.54,0.57,0.6
401353224,3532,144,147,2,0,NA,CUT,0.17,-0.66,-0.34,0.29,-0.7,-0.54
